time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, lp_const_of, of_y, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
14.070754,-0.004461,-0.001525,-1.082689,0.000051,0.000027,0.007006,-0.000014,-0.000162,-0.027079,-0.000017,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.069777,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,31,0
14.072708,-0.004461,-0.001525,-1.082675,0.000051,0.000027,0.006952,-0.000015,-0.000168,-0.027073,-0.000017,0.000002,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.071731,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,31,0
14.074662,-0.004461,-0.001525,-1.082661,0.000051,0.000026,0.006898,-0.000015,-0.000173,-0.027067,-0.000018,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.073685,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,31,0
14.076616,-0.004461,-0.001525,-1.082647,0.000051,0.000026,0.006844,-0.000014,-0.000179,-0.027062,-0.000019,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.075639,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,31,0
14.078570,-0.004461,-0.001525,-1.082634,0.000051,0.000026,0.006790,-0.000014,-0.000185,-0.027057,-0.000019,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.077593,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
14.080524,-0.004461,-0.001524,-1.082620,0.000051,0.000025,0.006736,-0.000012,-0.000191,-0.027053,-0.000020,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.079547,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
14.082478,-0.004461,-0.001524,-1.082607,0.000051,0.000025,0.006682,-0.000010,-0.000196,-0.027048,-0.000020,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.081501,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
14.084432,-0.004461,-0.001524,-1.082594,0.000051,0.000025,0.006628,-0.000008,-0.000202,-0.027044,-0.000021,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.040497,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.083455,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
14.086386,-0.004461,-0.001524,-1.082581,0.000051,0.000024,0.006573,-0.000006,-0.000208,-0.027040,-0.000021,0.000001,-0.000003,10.000000,10.000000,0.000000,-0.032007,0.000013,0.000000,0.000000,0.067000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.085409,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
14.088340,-0.004461,-0.001524,-1.082567,0.000051,0.000024,0.006519,-0.000004,-0.000213,-0.027037,-0.000022,0.000000,-0.000003,10.000000,10.000000,0.000000,-0.032007,0.000013,0.000000,0.000000,0.000000,0.000000,1410.000000,0.000000,0.000000,0.000000,0.000000,14.087363,0.000000,0.209654,0.000000,0.000000,0.000000,10.010000,6523,0,32,0
