time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, lp_const_of, of_y, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
12.067904,-0.004620,-0.001607,-1.091659,0.000017,-0.000142,-0.032851,-0.000100,-0.000200,0.032290,-0.000033,0.000008,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.069858,-0.004620,-0.001607,-1.091724,0.000017,-0.000143,-0.032787,-0.000094,-0.000188,0.032213,-0.000032,0.000008,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.071812,-0.004620,-0.001608,-1.091790,0.000016,-0.000143,-0.032723,-0.000089,-0.000176,0.032139,-0.000031,0.000007,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.073766,-0.004620,-0.001608,-1.091855,0.000016,-0.000144,-0.032658,-0.000082,-0.000164,0.032065,-0.000030,0.000007,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.075720,-0.004620,-0.001608,-1.091920,0.000016,-0.000144,-0.032594,-0.000076,-0.000152,0.031993,-0.000028,0.000006,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.077674,-0.004619,-0.001609,-1.091986,0.000016,-0.000144,-0.032531,-0.000068,-0.000140,0.031922,-0.000027,0.000005,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.079628,-0.004619,-0.001609,-1.092051,0.000016,-0.000144,-0.032467,-0.000061,-0.000127,0.031853,-0.000026,0.000004,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.081582,-0.004619,-0.001609,-1.092116,0.000016,-0.000145,-0.032403,-0.000053,-0.000115,0.031784,-0.000025,0.000004,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.083536,-0.004619,-0.001609,-1.092180,0.000016,-0.000145,-0.032340,-0.000044,-0.000103,0.031612,-0.000024,0.000003,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.085490,-0.004619,-0.001610,-1.092245,0.000015,-0.000145,-0.032277,-0.000036,-0.000091,0.031417,-0.000022,0.000002,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.087444,-0.004619,-0.001610,-1.092310,0.000015,-0.000145,-0.032214,-0.000027,-0.000079,0.031235,-0.000021,0.000001,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.089398,-0.004619,-0.001610,-1.092374,0.000015,-0.000145,-0.032152,-0.000018,-0.000067,0.031064,-0.000020,-0.000000,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.091352,-0.004619,-0.001611,-1.092438,0.000015,-0.000145,-0.032090,-0.000009,-0.000055,0.030905,-0.000019,-0.000001,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.093306,-0.004619,-0.001611,-1.092502,0.000015,-0.000146,-0.032029,0.000001,-0.000043,0.030755,-0.000018,-0.000002,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.095260,-0.004619,-0.001611,-1.092566,0.000015,-0.000146,-0.031967,0.000010,-0.000030,0.030614,-0.000016,-0.000003,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.097214,-0.004619,-0.001611,-1.092630,0.000015,-0.000146,-0.031906,0.000018,-0.000018,0.030481,-0.000015,-0.000004,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.099168,-0.004619,-0.001612,-1.092694,0.000015,-0.000146,-0.031846,0.000027,-0.000006,0.030355,-0.000014,-0.000005,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.101122,-0.004619,-0.001612,-1.092758,0.000016,-0.000146,-0.031785,0.000035,0.000006,0.030236,-0.000013,-0.000005,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.103076,-0.004619,-0.001612,-1.092821,0.000016,-0.000146,-0.031725,0.000043,0.000018,0.030123,-0.000011,-0.000006,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.105030,-0.004619,-0.001613,-1.092885,0.000016,-0.000146,-0.031665,0.000051,0.000030,0.030016,-0.000010,-0.000007,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.106984,-0.004619,-0.001613,-1.092948,0.000016,-0.000145,-0.031605,0.000058,0.000042,0.029914,-0.000009,-0.000008,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.108938,-0.004619,-0.001613,-1.093011,0.000016,-0.000145,-0.031545,0.000065,0.000054,0.029816,-0.000008,-0.000008,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.110892,-0.004619,-0.001614,-1.093074,0.000016,-0.000145,-0.031486,0.000071,0.000066,0.029722,-0.000006,-0.000009,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.112846,-0.004619,-0.001614,-1.093137,0.000016,-0.000145,-0.031426,0.000076,0.000078,0.029632,-0.000005,-0.000010,0.000490,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.114800,-0.004619,-0.001614,-1.093200,0.000016,-0.000145,-0.031367,0.000082,0.000090,0.029545,-0.000004,-0.000010,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.116754,-0.004619,-0.001614,-1.093263,0.000017,-0.000145,-0.031308,0.000086,0.000102,0.029462,-0.000003,-0.000011,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.118708,-0.004619,-0.001615,-1.093325,0.000017,-0.000145,-0.031249,0.000090,0.000114,0.029382,-0.000001,-0.000011,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
12.120662,-0.004619,-0.001615,-1.093388,0.000017,-0.000144,-0.031191,0.000093,0.000126,0.029304,-0.000000,-0.000011,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,0
12.122616,-0.004619,-0.001615,-1.093450,0.000017,-0.000144,-0.031132,0.000096,0.000138,0.029122,0.000001,-0.000012,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,0
12.124570,-0.004619,-0.001616,-1.093512,0.000017,-0.000144,-0.031074,0.000098,0.000150,0.028918,0.000002,-0.000012,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,0
12.126524,-0.004619,-0.001616,-1.093575,0.000018,-0.000143,-0.031017,0.000100,0.000162,0.028728,0.000004,-0.000012,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,31,0
12.128478,-0.004619,-0.001616,-1.093637,0.000018,-0.000143,-0.030960,0.000100,0.000174,0.028551,0.000005,-0.000012,0.000491,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,31,0
12.130432,-0.004619,-0.001616,-1.093699,0.000018,-0.000143,-0.030903,0.000101,0.000185,0.028385,0.000006,-0.000012,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,31,0
12.132386,-0.004619,-0.001617,-1.093760,0.000018,-0.000142,-0.030846,0.000100,0.000197,0.028230,0.000007,-0.000012,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6498,0,31,0
12.134340,-0.004619,-0.001617,-1.093822,0.000018,-0.000142,-0.030789,0.000100,0.000209,0.028933,0.000009,-0.000012,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
