time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, raw_of_y_2, of_y, raw_of_y_d, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
10.748954,-0.005264,-0.001534,-1.009754,0.000017,-0.000062,-0.090686,-0.000125,0.000093,0.058587,0.000004,0.000011,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6524,0,31,0
10.750908,-0.005264,-0.001534,-1.009936,0.000016,-0.000062,-0.090569,-0.000117,0.000103,0.058206,0.000005,0.000010,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6524,0,31,0
10.752862,-0.005264,-0.001535,-1.010117,0.000016,-0.000061,-0.090453,-0.000110,0.000113,0.057851,0.000006,0.000009,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.754816,-0.005264,-0.001535,-1.010298,0.000016,-0.000061,-0.090338,-0.000101,0.000123,0.057414,0.000007,0.000008,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.756770,-0.005264,-0.001535,-1.010478,0.000016,-0.000061,-0.090224,-0.000093,0.000132,0.056975,0.000008,0.000008,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.758724,-0.005264,-0.001535,-1.010659,0.000016,-0.000061,-0.090111,-0.000084,0.000142,0.056567,0.000009,0.000007,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.760678,-0.005264,-0.001535,-1.010839,0.000016,-0.000060,-0.089998,-0.000075,0.000152,0.056188,0.000010,0.000006,0.000486,10.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.762632,-0.005264,-0.001535,-1.011019,0.000015,-0.000060,-0.089886,-0.000065,0.000161,0.055835,0.000011,0.000005,0.000486,10.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1454.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.764585,-0.005264,-0.001535,-1.011199,0.000015,-0.000060,-0.089775,-0.000056,0.000171,0.055506,0.000012,0.000004,0.000486,10.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1454.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
10.766540,-0.005264,-0.001535,-1.011378,0.000015,-0.000059,-0.089665,-0.000045,0.000181,0.055199,0.000013,0.000003,0.000486,10.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1454.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6525,0,31,0
