time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, of_y, raw_of_y_d, raw_of_y_d_test, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
12.573990,-0.003907,-0.001594,-1.082755,-0.000160,-0.000045,-0.030197,-0.001145,-0.000292,0.034438,-0.000034,0.000130,0.000455,10.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,0,29,2
12.575944,-0.003907,-0.001594,-1.082816,-0.000162,-0.000045,-0.030129,-0.001095,-0.000298,0.034348,-0.000035,0.000125,0.000456,10.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,0,29,1
12.577898,-0.003907,-0.001594,-1.082876,-0.000164,-0.000046,-0.030060,-0.001044,-0.000303,0.034261,-0.000036,0.000120,0.000457,10.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1482.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,0,29,1
12.579852,-0.003908,-0.001594,-1.082936,-0.000166,-0.000047,-0.029992,-0.000994,-0.000310,0.034176,-0.000037,0.000115,0.000458,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,0,29,1
12.581806,-0.003908,-0.001595,-1.082996,-0.000168,-0.000047,-0.029924,-0.000942,-0.000317,0.034093,-0.000037,0.000110,0.000458,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,0,29,0
12.583760,-0.003908,-0.001595,-1.083055,-0.000170,-0.000048,-0.029855,-0.000891,-0.000322,0.034012,-0.000038,0.000105,0.000459,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,29,0
12.585714,-0.003909,-0.001595,-1.083115,-0.000172,-0.000048,-0.029788,-0.000838,-0.000329,0.033933,-0.000039,0.000099,0.000460,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,0
12.587668,-0.003909,-0.001595,-1.083175,-0.000174,-0.000049,-0.029720,-0.000785,-0.000335,0.033856,-0.000039,0.000094,0.000460,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,0
12.589622,-0.003909,-0.001595,-1.083234,-0.000175,-0.000050,-0.029652,-0.000731,-0.000342,0.033781,-0.000040,0.000089,0.000461,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,0
12.591576,-0.003910,-0.001595,-1.083293,-0.000176,-0.000050,-0.029585,-0.000676,-0.000348,0.033706,-0.000041,0.000083,0.000462,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,0
12.593530,-0.003910,-0.001595,-1.083353,-0.000178,-0.000051,-0.029517,-0.000621,-0.000354,0.033633,-0.000041,0.000077,0.000462,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,0
12.595484,-0.003911,-0.001595,-1.083412,-0.000179,-0.000052,-0.029450,-0.000565,-0.000359,0.033561,-0.000042,0.000072,0.000463,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,-1
12.597438,-0.003911,-0.001595,-1.083470,-0.000180,-0.000053,-0.029383,-0.000508,-0.000362,0.033490,-0.000043,0.000066,0.000463,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,-1
12.599392,-0.003911,-0.001595,-1.083529,-0.000181,-0.000053,-0.029316,-0.000450,-0.000367,0.033420,-0.000043,0.000060,0.000463,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6501,1,30,-1
