time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, of_y, raw_of_y_d, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
16.059925,0.007928,-0.315568,-1.103537,-0.000136,0.004008,0.009135,-0.000101,-0.004093,0.001617,-0.000416,0.000011,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
16.061880,0.007928,-0.315560,-1.103519,-0.000137,0.004000,0.009138,-0.000101,-0.004051,0.001617,-0.000411,0.000011,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
16.063833,0.007928,-0.315552,-1.103501,-0.000137,0.003992,0.009141,-0.000101,-0.004007,0.001617,-0.000407,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
16.065788,0.007928,-0.315544,-1.103482,-0.000137,0.003984,0.009144,-0.000101,-0.003961,0.001617,-0.000402,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
16.067741,0.007927,-0.315537,-1.103464,-0.000137,0.003976,0.009148,-0.000100,-0.003913,0.001617,-0.000397,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
16.069696,0.007927,-0.315529,-1.103446,-0.000137,0.003968,0.009151,-0.000099,-0.003864,0.001617,-0.000392,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
16.071650,0.007927,-0.315521,-1.103428,-0.000138,0.003960,0.009154,-0.000098,-0.003813,0.001616,-0.000387,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
16.073605,0.007926,-0.315513,-1.103409,-0.000138,0.003953,0.009157,-0.000096,-0.003762,0.001617,-0.000381,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
16.075558,0.007926,-0.315505,-1.103391,-0.000138,0.003945,0.009161,-0.000094,-0.003709,0.001510,-0.000376,0.000010,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
16.077513,0.007926,-0.315497,-1.103373,-0.000138,0.003938,0.009163,-0.000092,-0.003655,0.001380,-0.000370,0.000009,0.000486,10.000000,5.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
