time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,height_e, height,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,raw_of_y, of_y, raw_of_y_d, of_y_d, yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
26.191416,0.008880,-0.298269,-1.001557,-0.000001,0.000327,-0.064804,0.000019,-0.000153,0.033781,0.000015,-0.000002,0.000001,10.000000,32.000000,0.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1510.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6522,0,32,0
26.193371,0.008880,-0.298268,-1.001686,-0.000001,0.000326,-0.064737,0.000019,-0.000162,0.033800,0.000014,-0.000002,0.000001,10.000000,32.000000,0.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1510.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6522,0,32,0
26.195324,0.008880,-0.298268,-1.001816,-0.000001,0.000326,-0.064669,0.000019,-0.000172,0.033811,0.000013,-0.000002,0.000001,10.000000,32.000000,0.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1510.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6522,0,31,0
26.197277,0.008880,-0.298267,-1.001945,-0.000001,0.000326,-0.064602,0.000018,-0.000181,0.033815,0.000012,-0.000002,0.000001,10.000000,32.000000,0.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1510.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.199232,0.008880,-0.298267,-1.002074,-0.000001,0.000325,-0.064534,0.000017,-0.000190,0.033706,0.000011,-0.000002,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.201185,0.008880,-0.298266,-1.002204,-0.000001,0.000325,-0.064467,0.000016,-0.000200,0.033568,0.000010,-0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.203140,0.008880,-0.298265,-1.002333,-0.000001,0.000324,-0.064400,0.000014,-0.000209,0.033437,0.000009,-0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.205093,0.008880,-0.298265,-1.002461,-0.000001,0.000324,-0.064333,0.000012,-0.000219,0.033313,0.000008,-0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.207048,0.008880,-0.298264,-1.002590,-0.000001,0.000324,-0.064267,0.000010,-0.000228,0.033194,0.000007,-0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.209002,0.008880,-0.298263,-1.002719,-0.000001,0.000323,-0.064201,0.000008,-0.000237,0.033082,0.000006,-0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.210957,0.008880,-0.298263,-1.002847,-0.000001,0.000323,-0.064135,0.000006,-0.000247,0.032974,0.000005,-0.000000,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.212910,0.008880,-0.298262,-1.002975,-0.000001,0.000322,-0.064069,0.000003,-0.000256,0.032870,0.000004,-0.000000,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.214865,0.008880,-0.298261,-1.003104,-0.000001,0.000322,-0.064003,0.000001,-0.000266,0.032771,0.000003,0.000000,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.216818,0.008880,-0.298261,-1.003232,-0.000001,0.000321,-0.063938,-0.000001,-0.000275,0.032676,0.000002,0.000000,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.218773,0.008880,-0.298260,-1.003360,-0.000001,0.000320,-0.063873,-0.000003,-0.000284,0.032584,0.000001,0.000000,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.220726,0.008880,-0.298259,-1.003487,-0.000001,0.000320,-0.063808,-0.000005,-0.000294,0.032495,-0.000000,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.222679,0.008880,-0.298259,-1.003615,-0.000001,0.000319,-0.063743,-0.000007,-0.000303,0.032409,-0.000001,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.224634,0.008880,-0.298258,-1.003742,-0.000001,0.000319,-0.063678,-0.000008,-0.000312,0.032325,-0.000002,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.226587,0.008880,-0.298257,-1.003870,-0.000001,0.000318,-0.063614,-0.000009,-0.000322,0.032244,-0.000003,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6523,0,31,0
26.228542,0.008880,-0.298257,-1.003997,-0.000001,0.000317,-0.063549,-0.000010,-0.000331,0.032164,-0.000004,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6520,0,31,0
26.230495,0.008880,-0.298256,-1.004124,-0.000001,0.000317,-0.063485,-0.000011,-0.000340,0.032405,-0.000005,0.000001,0.000001,10.000000,31.000000,1.000000,1.135000,-0.035000,-0.001928,0.000003,0.000000,0.000000,0.000000,0.000000,1520.000000,0.000000,-0.000000,0.000000,-0.000001,0.000121,0.000000,9.810000,6520,0,31,0
