time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,height_e,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,raw_of_y, of_y, raw_of_y_d, of_y_d, yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
12.454796,0.005626,-0.312192,-1.096129,0.001242,-0.018399,-0.022267,-0.001132,0.021529,0.030784,0.000455,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.456750,0.005629,-0.312229,-1.096174,0.001240,-0.018356,-0.022205,-0.001131,0.021494,0.030637,0.000455,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.458704,0.005631,-0.312265,-1.096218,0.001237,-0.018313,-0.022144,-0.001130,0.021457,0.030499,0.000456,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.460658,0.005634,-0.312302,-1.096263,0.001235,-0.018270,-0.022083,-0.001128,0.021419,0.030369,0.000456,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.462612,0.005636,-0.312338,-1.096307,0.001233,-0.018227,-0.022023,-0.001127,0.021380,0.030246,0.000456,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.464566,0.005639,-0.312375,-1.096351,0.001231,-0.018185,-0.021963,-0.001126,0.021341,0.030129,0.000456,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.466520,0.005641,-0.312411,-1.096395,0.001228,-0.018142,-0.021902,-0.001126,0.021300,0.030018,0.000456,-0.000002,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.468474,0.005644,-0.312447,-1.096438,0.001226,-0.018099,-0.021843,-0.001125,0.021259,0.029913,0.000455,-0.000001,0.000488,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,1
12.470428,0.005646,-0.312484,-1.096482,0.001224,-0.018057,-0.021783,-0.001125,0.021217,0.029811,0.000455,-0.000001,0.000489,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,0,31,0
12.472382,0.005649,-0.312520,-1.096525,0.001222,-0.018015,-0.021723,-0.001125,0.021176,0.029715,0.000455,-0.000001,0.000489,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,3,31,0
12.474336,0.005651,-0.312556,-1.096569,0.001219,-0.017972,-0.021664,-0.001124,0.021133,0.029622,0.000454,-0.000001,0.000489,10.000000,7.000000,-3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1492.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6499,3,31,0
